"Player ID","Player","Team","Position",TARGETS,RECEPTIONS,RECEIVING_YARDS,RECEIVING_TOUCHDOWNS,"Fantasy Points"
"240","Travis Benjamin","SF","WR","0.0","1.2","17.3","0.2","2.93"
"2161","Dan Chisena","MIN","WR","0.0","1.9","22.7","0.1","2.87"
"537","Allen Hurns","MIA","WR","0.0","1.6","16.7","0.2","2.87"
"303","Chris Hogan","FA","WR","0.0","1.6","21.3","0.1","2.73"
"1960","Austin Mack","SF","WR","0.0","3.0","23.0","0.0","2.30"
"1102","Trent Taylor","CIN","WR","0.0","1.3","13.2","0.1","1.92"
"2288","Kendall Hinton","DEN","WR","0.0","1.1","12.1","0.0","1.85"
"1383","Damion Ratley","FA","WR","0.0","0.8","11.0","0.1","1.70"
"2157","Chris Rowland","FA","WR","0.0","0.8","11.0","0.1","1.70"
"2315","Matt Cole","SEA","WR","0.0","0.9","9.5","0.0","1.38"
"2222","De'Michael Harris","IND","WR","0.0","0.7","8.1","0.0","1.28"
"987","Gehrig Dieter","KC","WR","0.0","0.9","9.7","0.0","0.97"
"1822","Jason Moore","LAC","WR","0.0","0.8","9.5","0.0","0.95"
"1031","Josh Malone","FA","WR","0.0","0.9","9.4","0.0","0.94"
"1751","Keelan Doss","FA","WR","0.0","0.8","9.3","0.0","0.93"
"1754","Jeff Badet","FA","WR","0.0","0.9","9.3","0.0","0.93"
"988","Chad Hansen","ATL","WR","0.0","0.9","9.2","0.0","0.92"
"1252","Marcell Ateman","FA","WR","0.0","0.7","9.1","0.0","0.91"
"1768","Cyril Grayson","TB","WR","0.0","0.9","9.0","0.0","0.90"
"2265","Derrick Willies","FA","WR","0.0","0.7","8.6","0.0","0.86"
"2304","Ja'Marcus Bradley","CLE","WR","0.0","0.7","8.4","0.0","0.84"
"1430","River Cracraft","FA","WR","0.0","0.7","8.3","0.0","0.83"
"1570","Kelvin Harmon","WAS","WR","0.0","0.6","8.0","0.0","0.80"
"593","Justin Hardy","FA","WR","0.0","0.7","8.0","0.0","0.80"
"588","Kevin White","NO","WR","0.0","0.7","8.0","0.0","0.80"
"1427","Cody Hollister","TEN","WR","0.0","0.7","8.0","0.0","0.80"
"2132","Tyrie Cleveland","DEN","WR","0.0","0.7","8.0","0.0","0.80"
"1267","Malik Turner","DAL","WR","0.0","0.7","7.7","0.0","0.77"
"1444","Keith Kirkwood","FA","WR","0.0","0.7","7.6","0.0","0.76"
"1826","Alexander Hollins","CLE","WR","0.0","0.6","7.6","0.0","0.76"
"979","Ryan Switzer","CLE","WR","0.0","0.8","7.1","0.0","0.71"
"1445","Vyncint Smith","TB","WR","0.0","0.6","6.1","0.0","0.61"
"1193","JoJo Natson","FA","WR","0.0","0.4","4.7","0.0","0.52"
"1772","Ishmael Hyman","CAR","WR","0.0","2.0","4.0","0.0","0.40"
"2103","Dezmon Patmon","IND","WR","0.0","0.3","2.2","0.0","0.22"
"1249","Javon Wims","LV","WR","0.0","0.2","2.0","0.0","0.20"
"1559","Riley Ridley","FA","WR","0.0","0.0","0.0","0.0","0.00"
"1742","Olabisi Johnson","MIN","WR","0.0","0.0","0.0","0.0","0.00"
"2396","Dillon Stoner","LV","WR","0.0","0.0","0.0","0.0","0.00"
"2642","Stephen Guidry","DAL","WR","0.0","0.0","0.0","0.0","0.00"
"2181","Isaiah Wright","FA","WR","0.0","0.0","0.0","0.0","0.00"
"2174","Jody Fortson","KC","WR","0.0","0.0","0.0","0.0","0.00"
"453","Donte Moncrief","FA","WR","0.0","0.0","0.0","0.0","0.00"
"885","Andy Jones","FA","WR","0.0","0.0","0.0","0.0","0.00"
"667","J.J. Nelson","FA","WR","0.0","0.0","0.0","0.0","0.00"
"1191","Jaydon Mickens","JAC","WR","0.0","0.0","0.0","0.0","0.00"
